Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
KOVÁCS Kristóf;SG;Hazai;2001;194;85;ZTE KK
KOVÁCS Kristóf;SF;Hazai;1970;195;;MAFC
KOVÁCS László;G;Hazai;1963;183;;ZTE KK
KOVÁCS László;PG;Hazai;1962;190;88;Bajai SK, Budapesti Honvéd, Kaposvári KK, Videoton
KOVÁCS Martin;SG;Hazai;1997;;;ZTE KK
KOVÁCS Miklós;G;Hazai;1953;187;78;MAFC, Pécsi VSK
KOVÁCS Nándor;FC;Hazai;1961;198;101;Kaposvári KK, Pécsi VSK
KOVÁCS Norbert;GF;Hazai;1982;192;;Egri Fekete Sasok
KOVÁCS Péter;SG;Hazai;1988;191;90;Falco KC Szombathely, Kecskemét, NKA Pécs, Pécsi VSK, Szolnoki Olajbányász
KOVÁCS Péter;G;Hazai;1956;180;73;Szegedi EOL
KOVÁCS Péter;GF;Hazai;1973;190;;MAFC
KOVÁCS Soma;PF;Hazai;1991;201;105;Kaposvári KK
KOVÁCS Tamás;G;Hazai;1946;180;;Kecskemét
KOVÁCS Vilmos;G;Hazai;2003;188;80;Jászberény
KOVÁCS Zoltán;F;Hazai;1965;199;;Csepel
KOVÁCS Zsolt;SF;Hazai;1973;197;;Bajai Honvéd, Bajai SK
KOVÁCS Zsolt;SF;Hazai;1976;199;93;Alba Fehérvár, Sopron KC
KŐVÁGÓ-LASKA Márk;C;Hazai;1995;210;100;Kecskemét, Pécsi VSK
Szergej KOVALENKO;C;Légiós;1947;216;111;Csepel
KOVÁTS László;GF;Hazai;1961;192;;MAFC
KOVÁTS Róbert;F;Hazai;1984;198;104;Hódmezővásárhely, Kaposvári KK, NTE Hegyvidék
KOVÁTS Viktor;SG;Hazai;1979;193;90;Sopron KC, ZTE KK
KÖVECSES József;FC;Hazai;1960;200;85;Pécsi VSK
KÖVES István;FC;Hazai;1962;201;98;Alba Fehérvár, Videoton
KOZÁK Bertalan;GF;Hazai;1999;193;85;Nyíregyháza
KOZÁK Márton;PG;Hazai;1998;190;78;Debreceni EAC
KOZMA Gergő;SG;Hazai;1998;194;95;Falco KC Szombathely, Körmend, TF-Budapest
KOZMA Norbert;G;Hazai;1997;190;93;Vasas
KOZMA Tamás;PG;Hazai;1971;187;75;Falco KC Szombathely, Szegedi EOL
Mircsa KOZSALENKO;C;Légiós;1959;204;92;Csepel
Jean-Marc KRAIDY;F;Légiós;1976;203;105;Egri Fekete Sasok
KRAJNYIK András;C;Hazai;1950;200;115;Oroszlány
KRÁLIK József;PF;Hazai;1964;198;85;Szegedi EOL
Ante KRAPIĆ;PF;Légiós;1985;203;106;Szedeák, ZTE KK
KRASOVEC Péter;FC;Hazai;1967;202;98;Budapesti Honvéd, MAFC
KRASZNAI Milán;PG;Hazai;1978;185;72;Dombóvár
KRASZNAI Tibor;PG;Hazai;1982;183;80;Dombóvár, Falco KC Szombathely, NTE Hegyvidék, Nyíregyháza
Jaroslav KRAUS;C;Légiós;1959;205;102;Körmend
Omar KRAYEM;PG;Légiós;1988;183;82;Körmend
Denis KRESTININ;FC;Légiós;1994;201;100;Oroszlány
Ľudovít KRISTINÍK;GF;Légiós;1958;193;;Kaposvári KK
KRISTÓF Tamás;G;Hazai;1963;181;68;Veszprém
KRISTYÁK Viktor;GF;Hazai;2006;192;82;Oroszlány
Dragoljub KRIVAČEVIĆ;PF;Honosított;1961;204;100;Falco KC Szombathely, Nyíregyháza, ZTE KK
KRIVACSEVICS Markó;FC;Hazai;1996;202;98;Alba Fehérvár, Atomerőmű SE, Falco KC Szombathely, Körmend, Pécsi VSK
KRNJAJSZKI Borisz;G;Hazai;1998;193;93;Kaposvári KK, Pécsi VSK, Szolnoki Olajbányász, TF-Budapest
Lasan KROMAH;GF;Légiós;1991;198;93;Alba Fehérvár, Körmend
Zoran KRSTANOVIĆ;C;Légiós;1982;204;115;Falco KC Szombathely, Nyíregyháza, Sopron KC
Nemanja KRSTIĆ;PF;Légiós;1993;205;100;Szolnoki Olajbányász
KUBATOV Árpád;FC;Hazai;1956;196;102;Bajai SK
KUCSERA Dániel;PF;Hazai;1999;200;103;Kecskemét, Sopron KC
KUCSERA József;FC;Hazai;1953;200;98;Tungsram
KUCSORA Csaba;SG;Hazai;1998;190;85;Atomerőmű SE, Falco KC Szombathely, MAFC, Oroszlány, ZTE KK
Zbigniew KUDŁACZ;FC;Légiós;1958;207;;Dombóvár
Grzegorz KUKIEŁKA;SG;Légiós;1983;191;;Dombóvár
KUKLA Zsolt;C;Hazai;1979;207;120;Hódmezővásárhely, Szedeák
KULCSÁR Balázs;PG;Hazai;1977;178;;Kaposvári KK
Cory KULIG;PF;Légiós;1975;201;100;Debreceni KK
KULUNCSICS Antal;GF;Hazai;1974;194;;MAFC
Aleš KUNC;C;Légiós;1973;208;110;Kaposvári KK
KUNGLER Sándor;G;Hazai;1983;185;;Debreceni KK
Davorin KUNTIĆ;PG;Légiós;1992;186;81;Kecskemét, Szedeák
KUNVÁRI József;;Hazai;;;;Bajai SK
KUPAI László;SF;Hazai;2006;196;88;Atomerőmű SE, Oroszlány
Igor KURASOV;C;Légiós;1972;210;105;Szolnoki Olajbányász
KURUCZ Gábor;SF;Hazai;1979;196;;Nagykőrös
KURUCZ Károly;SF;Hazai;1978;195;;Nagykőrös
KUSNYER E.J.;GF;Hazai;1986;196;101;Körmend, ZTE KK
KUTASI Gergely;G;Hazai;1984;189;83;Debreceni Egyetem, Kaposvári KK, Körmend, Pécsi VSK
KÚTVÖLGYI Csaba;PG;Hazai;1976;185;;Hódmezővásárhely
Viktor KUZMIN;SF;Légiós;1961;203;91;Budapesti Honvéd, Nagykőrös
LACZHÁZI Róbert;GF;Hazai;1970;194;92;Dombóvár
LACZKÓ Sándor;;Hazai;;;;Egri TANÉP
LADÁNYI Sándor;G;Hazai;1962;179;80;Kecskemét
LADOS Erik;G;Hazai;2000;184;80;NKA Pécs
LADOVSZKY János;PG;Hazai;2005;187;76;Kecskemét
Jerome LAGRANGE;PG;Légiós;1978;191;91;Atomerőmű SE, Dombóvár, Kecskemét
LAINCSÁK István;F;Hazai;1960;196;;Sopron KC
LAJSZ Gergő;C;Hazai;1992;203;116;Debreceni EAC, Factum Sport Debrecen, Körmend, Nyíregyháza
LAKATOS István;GF;Hazai;1978;193;90;Nyíregyháza
LAKATOS István;PG;Hazai;1965;187;;Nagykőrös
LAKATOS Péter;SG;Hazai;1979;193;89;Debreceni KK, Falco KC Szombathely, Kecskemét, Pécsi VSK, Sopron KC, Szolnoki Olajbányász
LAKATOS Tamás;GF;Hazai;1960;190;82;Kecskemét
De'Quon LAKE;C;Légiós;1997;208;102;Atomerőmű SE, Falco KC Szombathely, Szedeák
LAKITS András;F;Hazai;1991;196;85;MAFC
LAKOSA Zsolt;G;Hazai;1991;190;88;Körmend, MAFC, Sopron KC, Szedeák, Szolnoki Olajbányász
LAKOSA Zsolt;PF;Hazai;1963;198;90;Atomerőmű SE, Egri TANÉP, Kecskemét, Nagykőrös
Mārtiņš LAKSA;SF;Légiós;1990;200;92;Alba Fehérvár
Jure LALIĆ;C;Légiós;1986;211;115;Kaposvári KK
LALUSKA Bence;SF;Hazai;2006;201;84;Szedeák
Bart LAMMERSEN;C;Légiós;1973;206;;ZTE KK
LÁNCZOS Sándor;G;Hazai;1981;184;81;Alba Fehérvár
LÁNG László;SF;Hazai;1954;194;90;Tungsram
LANGER Róbert;GF;Hazai;1966;191;83;Sopron KC
Kevin LANGFORD;FC;Légiós;1985;203;111;Factum Sport Debrecen
Kobe LANGLEY;PG;Légiós;2000;185;82;Szedeák
Miha LAPORNIK;SG;Légiós;1993;193;93;Debreceni EAC
Bojan LAPOV;C;Légiós;1968;212;115;Alba Fehérvár, Kecskemét, Pécsi VSK, Szolnoki Olajbányász
Hernst LAROCHE;PG;Légiós;1989;185;77;Sopron KC
LÁSZLÓ Róbert;SG;Honosított;1984;195;90;Jászberény, Nyíregyháza, Szedeák
LÁSZLÓ Zsolt;SF;Hazai;1966;194;82;Budapest SE, Csepel
Maurice LATHAM;F;Légiós;1984;198;93;ZTE KK
LATINOVICS Momcsilo;SF;Hazai;1989;196;83;Körmend
Dallas LAUDERDALE;C;Légiós;1988;203;118;Debreceni EAC
Kimani LAWRENCE;F;Légiós;1998;201;95;Kecskemét
LÁZÁR Béla;PF;Hazai;1947;194;;ZTE KK
LÁZÁR Krisztián;C;Hazai;1987;206;107;NTE Hegyvidék
LÁZÁR László;C;Hazai;1987;210;95;Jászberény
Nikola LAZIĆ;FC;Légiós;1961;202;;ZTE KK
Oleg LEBEGYEV;SF;Légiós;1971;199;92;ZTE KK
Seth LEDAY;PF;Légiós;1996;201;98;Nyíregyháza, ZTE KK
Marqus LEDOUX;PF;Légiós;1980;203;90;Körmend, Szolnoki Olajbányász
Greg LEE;PF;Légiós;1998;206;98;Kecskemét
Michael LEE;PF;Légiós;1986;206;98;Alba Fehérvár, Szolnoki Olajbányász
Patrick LEE;G;Légiós;1975;188;91;Debreceni KK, Dombóvár
Alex LEGION;GF;Légiós;1988;196;93;Pécsi VSK
LÉGRÁDI Zsolt;G;Hazai;1964;188;82;Budapesti Honvéd, MAFC
Mindaugas LEKARAUSKAS;C;Légiós;1960;207;;Sopron KC, ZTE KK
LEKLI József;FC;Hazai;1987;206;106;Alba Fehérvár, Falco KC Szombathely, Kaposvári KK, Kecskemét, Nyíregyháza, ZTE KK
Tomas LEKŪNAS;F;Légiós;1993;198;100;ZTE KK
Brynton LEMAR;SG;Légiós;1995;193;88;Sopron KC
Walt LEMON;G;Légiós;1992;191;81;Körmend
LENDVAI Ferenc;GF;Hazai;1963;190;80;Videoton
LENDVAY Bence;F;Hazai;2005;202;95;Budapesti Honvéd
LEPSÉNYI Ádám;FC;Hazai;1991;204;;Pécsi VSK
Richard LEŠKO;PF;Légiós;1981;206;100;Sopron KC
Chauncey LESLIE;PG;Légiós;1981;183;75;Körmend
LESTÁR Csaba;PG;Hazai;1989;;;Kecskemét
LESTÁR Mihály;FC;Hazai;1957;200;85;Hódmezővásárhely, Szegedi EOL
LESTI Gábor;SF;Hazai;1967;196;94;MAFC
LÉVAI Sándor;G;Hazai;1952;183;72;Kandó MFSC
Jonathan LEVY;G;Légiós;1982;193;90;Atomerőmű SE, Falco KC Szombathely, Szedeák
LEWIS Chester;G;Hazai;1998;188;85;Kecskemét
Kelvin LEWIS;SG;Légiós;1988;193;92;Sopron KC
Marcus LEWIS;GF;Légiós;1992;196;84;Szolnoki Olajbányász
Mike LEWIS;G;Légiós;1998;186;86;Pécsi VSK
LEZSÁK Sándor;G;Hazai;;;;Egri TANÉP
Ivars LIEPA;C;Légiós;1965;205;98;Sopron KC
LIKÁR László;FC;Hazai;1958;202;96;Bajai SK, MAFC
LIKÁR Péter;PF;Hazai;1984;203;102;Debreceni KK, MAFC, NTE Hegyvidék, Pécsi VSK
LIKAVCSÁN János;F;Hazai;1976;201;96;Budapesti Honvéd
Ivan LILOV;GF;Légiós;1988;194;88;Debreceni EAC, Kaposvári KK, Szedeák
Olekszandr LIPOVIJ;SG;Légiós;1991;201;80;Szolnoki Olajbányász
LIPTÁK András;FC;Hazai;1950;198;96;Sopron KC
Nerijus LISAUSKAS;C;Légiós;1980;205;105;Dombóvár
Emmanuel LITTLE;F;Légiós;1999;198;102;Szolnoki Olajbányász
Dario LIVAJIĆ;C;Légiós;1979;210;110;Nyíregyháza
Marko LJUBIČIĆ;PG;Légiós;1987;196;87;Alba Fehérvár
Bojan LJUBOJEVIĆ;FC;Légiós;1978;205;106;Sopron KC
Elhadji Malick LO;C;Légiós;1976;206;100;Debreceni KK, Hódmezővásárhely, Pécsi VSK
Noah LOCKE;SG;Légiós;1999;191;95;Szedeák
Eric LOCKETT;SF;Légiós;1995;196;92;Atomerőmű SE
Brad LOESING;PG;Légiós;1989;183;83;Pécsi VSK
LOMBOS Tamás;;Hazai;;;;Pécsi EAC
Makinde LONDON;FC;Légiós;1996;208;100;Sopron KC
Jordan LONGINO;SG;Légiós;2002;196;99;Körmend
Mirosław ŁOPATKA;C;Légiós;1977;213;115;Kecskemét, Körmend, Szolnoki Olajbányász
Miodrag LOPIČIĆ;F;Légiós;1962;200;;Kaposvári KK
LÓRÁNT András;SF;Hazai;1984;196;94;Körmend
LÓRÁNT Péter;FC;Hazai;1985;208;111;Alba Fehérvár, Atomerőmű SE, Debreceni KK, Körmend, Szolnoki Olajbányász
LŐRINCZ István;GF;Hazai;1962;191;;Sopron KC
LŐRINCZ Viktor;SF;Hazai;1982;192;78;Atomerőmű SE
LOSONCZY Árpád;FC;Hazai;1950;198;83;Vasas
Jack LOTHIAN;C;Légiós;1971;213;114;Matáv Pécs
LOVÁSZ Béla;G;Hazai;1961;187;;Pécsi VSK
Jordan LOVERIDGE;SF;Légiós;1993;198;95;Körmend
Kenny LOWE;SG;Légiós;1980;193;92;Alba Fehérvár
Uroš LUČIĆ;PF;Légiós;1983;206;99;Jászberény
LUKÁCS Attila;SG;Hazai;1981;185;77;Atomerőmű SE, Dombóvár
LUKÁCS Döme;GF;Hazai;2000;193;100;Kecskemét
LUKÁCS Norbert;F;Hazai;2001;204;95;Alba Fehérvár, Szolnoki Olajbányász
LUKÁCSI Gábor;PG;Hazai;2007;194;75;NKA Pécs
LUKÁCSI József;PF;Hazai;1967;195;;Nagykőrös
Andrej LUKJANEC;F;Légiós;1969;203;;Alba Fehérvár
Darius LUKMINAS;GF;Légiós;1968;195;93;Atomerőmű SE
Mindaugas LUKOŠIUS;SF;Légiós;1959;195;92;ZTE KK
Marko LUKOVIĆ;PF;Légiós;1992;206;92;Kecskemét
LUPIS József;;Hazai;1953;;;Oroszlány
Peter LUSNYENKO;FC;Légiós;1950;;;Csepel
Milan LUŽAIĆ;G;Légiós;1996;195;93;NKA Pécs
MAÁR Gábor;PG;Hazai;1965;182;73;Falco KC Szombathely
Myles MACK;PG;Légiós;1993;178;79;Sopron KC
Elijah MACON;FC;Légiós;1993;206;109;Alba Fehérvár
MADÁR András;GF;Hazai;1991;193;92;Alba Fehérvár, Jászberény, Nyíregyháza
Delmonte MADISON;SG;Légiós;1973;195;93;Atomerőmű SE, Dombóvár, Kaposvári KK, Kecskemét, Körmend, MAFC, Pécsi VSK
MAGYAR András;FC;Hazai;1951;199;92;Kaposvári KK, Oroszlány, ZTE KK
MAGYAR Attila;G;Hazai;1953;186;80;ZTE KK
MAGYAR János;FC;Hazai;1961;201;87;Szegedi EOL
MAGYAR László;G;Hazai;1980;184;;Kecskemét
MAGYARFI László;G;Hazai;1957;187;88;Kaposvári KK
MAJOR Bulcsú;GF;Hazai;2005;195;89;Budapesti Honvéd, Oroszlány
MAJOR István;GF;Hazai;1959;190;80;Veszprém, Videoton
MAJOR Zsolt;PG;Hazai;1959;185;73;Sopron KC
Igor MAJOROS;F;Légiós;1980;200;102;Dombóvár, Szolnoki Olajbányász
Milan MAJSTOROVIĆ;FC;Légiós;1983;207;110;Falco KC Szombathely
MAKK Balázs;PG;Hazai;1977;180;;Bajai Honvéd, Bajai SK
MAKKOS Dávid;PG;Hazai;2004;190;70;ZTE KK
MAKÓ Tibor;F;Hazai;1967;196;88;Alba Fehérvár, Videoton
MAKRAI Márton;PG;Hazai;1989;186;78;Nyíregyháza
MAKSZIN László;SF;Hazai;1961;194;90;Budapest SE
MALCSIK László;PG;Hazai;1954;172;82;Alba Fehérvár, Budapest SE
Vytautas MALERAS;FC;Légiós;1960;203;;Nagykőrös
Nikola MALEŠEVIĆ;SF;Légiós;1989;202;91;Szolnoki Olajbányász
Grega MALI;GF;Légiós;1984;197;85;Debreceni Egyetem
Boris MALJKOVIĆ;PG;Légiós;1969;193;88;Atomerőmű SE, Debreceni KK, MAFC, Nyíregyháza, Sopron KC, Szolnoki Olajbányász
Charles MANDIC;SF;Légiós;1973;200;102;Sopron KC
MÁNDITY Máté;PF;Hazai;1983;207;92;Falco KC Szombathely, Szolnoki Olajbányász, ZTE KK
MÁNDOKI Tamás;G;Hazai;1993;192;90;Jászberény
Jahenns MANIGAT;G;Légiós;1991;185;82;Debreceni EAC
Fahrudin MANJGAFIĆ;FC;Légiós;1997;202;107;NKA Pécs, Sopron KC
MANNER Péter;FC;Hazai;1952;196;;Oroszlány
Kęstutis MARČIULIONIS;PG;Légiós;1976;188;90;Alba Fehérvár, Kaposvári KK, Kecskemét
Nyikolaj MARCSENKO;F;Légiós;1974;203;;Nyíregyháza
Martin MAREK;FC;Légiós;1980;206;100;Nyíregyháza
Zoran MARIJANOVIĆ;PF;Légiós;1962;198;95;Dombóvár
MÁRIJÁS Mihály;C;Légiós;1958;204;88;Csepel
Ivan MARINKOVIĆ;C;Légiós;1993;208;107;NKA Pécs
Marko MARINKOVIĆ;FC;Légiós;1992;203;;Jászberény
Pekka MARKKANEN;C;Légiós;1967;208;110;ZTE KK
Miloš MARKOVIĆ;F;Légiós;1984;201;100;Jászberény
MARKOVICS Luka;F;Hazai;1993;200;106;Alba Fehérvár, Atomerőmű SE, Kaposvári KK, Szolnoki Olajbányász
MÁRKUS Tamás;PG;Hazai;1989;180;70;Kaposvári KK
Tony MARONEY;C;Légiós;1972;218;125;Alba Fehérvár
Jay MARRIOT;GF;Légiós;1981;196;;Dombóvár
Curtis MARSHALL;GF;Légiós;1983;196;86;Nyíregyháza
MARTÉNYI Szabolcs;;Hazai;;;;MAFC
Gabe MARTIN;SF;Légiós;1982;196;90;MAFC
John MARTIN;C;Légiós;1981;213;113;Falco KC Szombathely
Kevin MARTIN;C;Légiós;1983;208;122;Atomerőmű SE
Kris MARTIN;SG;Légiós;1997;193;86;Alba Fehérvár
Wayne MARTIN;C;Légiós;1993;201;108;Kaposvári KK
MARTINCSEK Tibor;SG;Hazai;1974;192;;Atomerőmű SE
MARTINEZ Ralf;SF;Hazai;2000;202;107;Körmend, Pécsi VSK
Goran MARTINIĆ;PG;Légiós;1987;186;81;Debreceni EAC, Falco KC Szombathely
MÁRTON Ádám;SF;Hazai;1997;192;94;Körmend
MÁRTON Gábor;F;Hazai;1955;194;92;Budapest SE, Budapesti Honvéd
MÁRTON Zoltán;FC;Hazai;1971;202;;Alba Fehérvár, Szegedi EOL
Artūras MASIULIS;C;Légiós;1980;210;125;Szolnoki Olajbányász
Blažej MAŠURA;FC;Légiós;1957;203;;Videoton
MÁTÉ Balázs;SF;Hazai;1987;194;97;Egri Fekete Sasok, Körmend
MÁTÉ Márk;G;Hazai;1988;189;;Factum Sport Debrecen, Hódmezővásárhely, MAFC
MÁTHÉ-BARABÁSSY Attila;C;Hazai;1972;207;96;MAFC
Anthony MATHIS;SG;Légiós;1996;193;84;Sopron KC
MATUS Gábor;PG;Hazai;1970;185;82;Alba Fehérvár, Budapesti Honvéd, Videoton
Ivica MAVRENSKI;PG;Légiós;1966;185;80;ZTE KK
Erron MAXEY;SF;Légiós;1978;198;100;Kaposvári KK
Valentino MAXWELL;GF;Légiós;1985;195;90;Debreceni Egyetem
MAYER Ákos;F;Hazai;1998;201;85;Szedeák
MAYER Árpád;G;Hazai;1959;185;80;Pécsi EAC
DeAndre MAYS;PG;Légiós;1987;188;86;Salgótarjáni KSE
Ed MCCANTS;SG;Légiós;1982;190;90;Körmend
Chad MCCLENDON;PF;Légiós;1973;202;102;Alba Fehérvár, Kecskemét, Körmend, ZTE KK
Terry MCCORD;SG;Légiós;1970;195;;Alba Fehérvár
Toney MCCRAY;GF;Légiós;1989;198;95;Kaposvári KK, MAFC
Bryan MCCULLOUGH;SF;Légiós;1983;196;92;Dombóvár, Körmend
Clint MCDANIEL;G;Légiós;1972;193;81;Debreceni KK, Kecskemét, Sopron KC
Kevin MCDUFFIE;PF;Légiós;1965;201;;Sopron KC
Markis MCDUFFIE;PF;Légiós;1997;203;95;Alba Fehérvár
Rickey MCGILL;PG;Légiós;1997;185;79;Sopron KC
Trey MCGOWENS;G;Légiós;2000;193;89;ZTE KK
Rodney MCGRUDER;SG;Légiós;1991;193;93;Atomerőmű SE
Spencer MCKAY;FC;Légiós;1968;208;110;ZTE KK
Bryson MCKENZIE;FC;Légiós;1983;208;104;Szedeák
Trey MCKINNEY-JONES;SF;Légiós;1990;196;100;Körmend
Logan MCLANE;FC;Légiós;1995;206;110;TF-Budapest
Ronnie MCMAHAN;GF;Légiós;1972;195;87;Alba Fehérvár, Atomerőmű SE, Budapesti Honvéd, Matáv Pécs
Kenyon MCNEAIL;G;Légiós;1991;185;84;Körmend
Milovan MEDANOVIĆ;C;Légiós;1964;205;;Debreceni KK
Lester MEDFORD;PG;Légiós;1993;178;79;Alba Fehérvár, Falco KC Szombathely
MEDVE Máté;GF;Hazai;1989;193;93;Alba Fehérvár, Atomerőmű SE, Factum Sport Debrecen, Jászberény, Kaposvári KK
MEGYERI Sándor;PF;Hazai;1950;196;90;Csepel
MEIXNER Márk;FC;Hazai;1996;205;95;Atomerőmű SE
Yves MEKONGO MBALA;F;Légiós;1987;201;100;Factum Sport Debrecen
Aigars MELDERIS;GF;Légiós;1966;192;;Falco KC Szombathely
MELEG Gergő;FC;Hazai;2000;206;102;NKA Pécs, Pécsi VSK, TF-Budapest
MELEG Károly;FC;Hazai;1996;203;90;Szedeák
Cédric MÉLICIE;PF;Légiós;1979;198;102;Atomerőmű SE
Cleveland MELVIN;PF;Légiós;1991;203;94;Alba Fehérvár, Atomerőmű SE
Muris MEMIĆ;PG;Légiós;1981;186;;MAFC
Drew MEREDITH;PF;Légiós;1966;194;;MAFC
MÉRÉSZ Csaba;GF;Hazai;1977;194;90;Kecskemét, Sopron KC, Szolnoki Olajbányász
MÉRÉSZ Tamás;SF;Hazai;1973;195;95;Atomerőmű SE, Kecskemét, Nyíregyháza, Szolnoki Olajbányász
MERKL Barna;SG;Hazai;2004;192;84;Pécsi VSK
Blaž MESIČEK;SG;Légiós;1997;198;92;Oroszlány
MÉSZÁROS Ágoston;SG;Hazai;2006;194;85;ZTE KK
MÉSZÁROS Áron;SG;Hazai;1977;192;82;Budapesti Honvéd, Debreceni KK, Százhalombatta, Szolnoki Olajbányász
MÉSZÁROS Gábor;F;Hazai;1978;194;;Nagykőrös
MÉSZÁROS János;PF;Hazai;1989;196;98;Szedeák
MÉSZÁROS László;F;Hazai;1963;196;92;Bajai SK
MÉSZÁROS Máté;SF;Hazai;1993;195;95;ZTE KK
MÉSZÁROS Máté;GF;Hazai;1992;192;95;Jászberény, Kecskemét, Sopron KC
MÉSZÁROS Richárd;GF;Hazai;1979;199;90;Dombóvár, Pécsi VSK, Salgótarjáni KSE, ZTE KK
MÉSZÁROS Tamás;PG;Hazai;2006;181;64;Szedeák
MÉSZÁROS Zalán;PG;Hazai;1974;190;91;Atomerőmű SE, Budapesti Honvéd, Matáv Pécs
MÉSZÁROS Zoltán;FC;Hazai;1954;197;87;Szegedi EOL
MESZLÉNYI Róbert;SG;Hazai;2004;193;88;Sopron KC
MESZLER László;;Hazai;1949;;;Pécsi VSK
Adam METELSKI;C;Légiós;1983;207;115;Dombóvár, Körmend
MEZŐ Attila;C;Hazai;1959;202;88;Körmend, Szegedi EOL, Vasas
MEZŐFI Márk;F;Hazai;2007;196;90;NKA Pécs
Tomáš MICHALÍK;C;Légiós;1957;206;;Kaposvári KK
Jozef MICHALKO;G;Légiós;1961;189;81;Csepel
Dalibor MICIĆ;C;Légiós;1985;224;138;Nyíregyháza
Ognjen MIĆOVIĆ;PG;Légiós;2000;187;80;Pécsi VSK
Lamont MIDDLETON;SG;Légiós;1989;191;93;Kecskemét
Jacek MIĘDZIK;SG;Légiós;1953;190;84;Dombóvár
Martin MIHAJLOVIĆ;C;Légiós;1981;208;;Körmend
MIHALICS Gergely;SF;Hazai;1995;;;Kaposvári KK
MIHALICS Zoltán;SF;Hazai;1982;198;88;Alba Fehérvár
MIHÁLOVICS Gyula;G;Hazai;1969;188;79;Bajai SK, Nagykőrös, Szolnoki Olajbányász
MIHÁLY Gyula;C;Hazai;1968;206;102;Atomerőmű SE, Budapesti Honvéd, Tungsram
MIHÁLYI István;;Hazai;;;;Tungsram
MIHOLICS Bence;GF;Hazai;1996;194;89;Atomerőmű SE
Igor MIJAJLOVIĆ;G;Légiós;1984;193;85;Kaposvári KK
Stefan MIJOVIĆ;GF;Légiós;1995;193;82;Budapesti Honvéd
MIKE János;PG;Hazai;1996;185;79;Szedeák
MIKLÓSSY László;FC;Hazai;1971;204;89;Alba Fehérvár, Dombóvár, Pécsi VSK, Tungsram
MIKOLA András;F;Hazai;1955;195;82;Szolnoki Olajbányász
Milija MIKOVIĆ;FC;Légiós;1994;205;107;ZTE KK
Marek MIKULSKI;C;Légiós;1952;205;;Oroszlány
Nikola MILATOVIĆ;PF;Légiós;1963;205;103;Hódmezővásárhely, Sopron KC
Ivan MILIČEVIĆ;FC;Légiós;1995;204;102;Jászberény
Miloš MILISAVLJEVIĆ;G;Légiós;1993;193;92;Kaposvári KK, Kecskemét, Oroszlány, Szedeák
Aleksandar MILIVOJŠA;C;Légiós;1964;207;90;Dombóvár, Nagykőrös, Videoton
Nikola MILJUŠ;SF;Légiós;1963;195;;Kaposvári KK
Malcolm MILLER;GF;Légiós;1991;198;91;Nyíregyháza
Phillip MILLER;PG;Légiós;1991;185;78;Jászberény
Roland MILLER;SG;Légiós;1977;190;;Atomerőmű SE
Skip MILLS;GF;Légiós;1985;191;93;Dombóvár, Sopron KC, Szolnoki Olajbányász
Nemanja MILOŠEVIĆ;PF;Légiós;1987;204;111;Szolnoki Olajbányász
Strahinja MILOŠEVIĆ;F;Légiós;1985;203;104;Debreceni EAC, Falco KC Szombathely, Szolnoki Olajbányász
Jurij MILOVIDOV;C;Légiós;1960;207;;Pécsi VSK
Andreja MILUTINOVIĆ;GF;Légiós;1990;199;93;Kecskemét
Jordan MINCSEV;F;Légiós;1998;203;87;Oroszlány
Miloš MIRKOVIĆ;C;Légiós;1983;206;103;Debreceni KK
MISEK Csaba;G;Hazai;1963;188;74;Budapest SE, Budapesti Honvéd, Csepel, Szolnoki Olajbányász
MISEK Levente;SF;Hazai;1993;194;85;MAFC
MISEK Márk;SG;Hazai;1990;192;75;MAFC
Ivan MIŠKOVIĆ;FC;Légiós;1984;203;104;Nyíregyháza
Vladimir MIŠKOVIĆ;PG;Légiós;1978;188;83;ZTE KK
Olekszandr MISULA;G;Légiós;1992;192;74;ZTE KK
Marek MISZCZUK;C;Légiós;1977;211;117;ZTE KK
Dimitrisz MISZIAKOSZ;F;Légiós;1982;203;;MAFC
Ashton MITCHELL;G;Légiós;1988;180;84;Alba Fehérvár
Carl MITCHELL;SF;Légiós;1979;206;104;Egri Fekete Sasok, Salgótarjáni KSE
Jonathan MITCHELL;PF;Légiós;1987;201;111;Falco KC Szombathely
Shereef MITCHELL;G;Légiós;2000;185;77;Atomerőmű SE
Wendell MITCHELL;G;Légiós;1997;190;85;Körmend
Zoran MLADENOVIĆ;PG;Légiós;1972;189;;Dombóvár
MLADENOVICS Dejan;G;Hazai;1985;187;87;Factum Sport Debrecen, Jászberény, Körmend
MÓCSAI Milán;SF;Hazai;1988;190;90;NTE Hegyvidék
MÓCSÁN Bálint;GF;Hazai;1997;195;90;Debreceni EAC, Körmend, MAFC
MOCSY György;FC;Hazai;1959;195;95;Volán SC
MÓDRA György;GF;Hazai;1969;194;;Nagykőrös
MOGYORÓSY Szilárd;SF;Hazai;1975;194;93;Körmend, Sopron KC, Soproni MAFC
MOHÁCSI Máté;F;Hazai;1990;194;105;Nyíregyháza, Oroszlány, ZTE KK
Alhaji MOHAMMED;G;Légiós;1981;190;90;Alba Fehérvár
Nathe MOHS;SG;Légiós;1977;193;;Dombóvár
MOJZES József;C;Hazai;1973;205;;Budapesti Honvéd, Csepel
