Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
BUTOR Dezső;GF;Hazai;1955;192;84;MAFC
Dino BUTORAC;SG;Légiós;1990;191;84;Falco KC Szombathely
BUZÁS Bence;SF;Hazai;1997;195;90;Jászberény, Kaposvári KK, TF-Budapest
BUZÁSI Béla;GF;Hazai;1964;192;83;Atomerőmű SE
Aidas BUZELIS;GF;Légiós;1971;193;92;Atomerőmű SE
BUZOGÁNY Mátyás;FC;Hazai;1981;205;100;Matáv Pécs, Pécsi VSK
BUZSÁKI Bence;SF;Hazai;1997;198;95;Jászberény, Sopron KC
Carlos CABEZAS;PG;Légiós;1980;187;93;Alba Fehérvár
Mike CAFFEY;PG;Légiós;1993;183;79;Jászberény
Marko ČAKAREVIĆ;SF;Légiós;1988;200;90;Kaposvári KK
Marjan ČAKARUN;C;Légiós;1990;203;105;Körmend, Szolnoki Olajbányász
Omar CALHOUN;GF;Légiós;1993;196;93;Atomerőmű SE, Oroszlány
Jacob CALLOWAY;F;Légiós;1996;203;98;Oroszlány
Chris CAMPBELL;SG;Légiós;1981;194;92;Pécsi VSK
Rod CAMPHOR;G;Légiós;1992;193;94;Kecskemét
Dragoslav ČAMPRAG;PG;Légiós;1962;187;;Körmend
Nenad ČANAK;F;Légiós;1976;204;97;Pécsi VSK
Kevin CAPERS;SG;Légiós;1993;188;77;Atomerőmű SE
Ognjen ČARAPIĆ;PG;Légiós;1998;193;86;NKA Pécs
Tobe CARBERRY;SG;Légiós;1978;189;87;Sopron KC
CAREV Alekszej;GF;Hazai;2000;198;92;Oroszlány, Pécsi VSK
Kenny CARPENTER;GF;Légiós;1996;196;82;Pécsi VSK
Markus CARR;PG;Légiós;1979;185;82;Sopron KC
Eric CARTER;C;Légiós;1995;206;107;Sopron KC
Jace CARTER;SF;Légiós;2003;198;102;Körmend
Chico CARTER Jr.;SG;Légiós;2000;187;87;Oroszlány
