Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
CZERMANN Patrik;2023-24;DEAC;13;107;8.2;8;0.6;4.2;11;0.8;5.7;2.3;5.4;16.3;16.4;28;0.45;91;116;-24.5;-0.2;0.1;-0.1;-0.023;2;5;8;38.5
HERCZEG Kristóf;2023-24;Körmend;17;107;6.3;-12;-0.7;-6.1;-17;-1.0;-8.4;0.4;-6.6;16.9;18.0;18;0.23;49;123;-74.0;-0.7;0.0;-0.7;-0.279;-77;8;9;47.1
KAROSI Gergely;2022-23;Atomerőmű SE;17;104;6.1;-3;-0.2;-1.5;-4;-0.2;-2.1;0.4;-1.6;13.4;13.1;14;0.24;56;114;-57.9;-0.4;0.1;-0.4;-0.138;-34;9;8;52.9
WERNER Viktor;2023-24;Oroszlány;15;102;6.8;4;0.2;1.9;5;0.3;2.5;1.5;4.4;9.7;10.5;21;0.50;101;119;-17.1;0.0;0.0;0.0;0.012;6;7;8;46.7
SCHÖLL Richárd;2022-23;Sopron;11;100;9.1;19;1.7;10.6;26;2.4;14.5;3.5;10.4;11.2;11.7;25;0.58;118;111;7.7;0.1;0.1;0.3;0.104;37;4;7;36.4
Emmanuel LITTLE;2023-24;Szolnok;6;99;16.5;25;4.1;13.3;33;5.6;18.1;8.8;11.1;25.8;26.1;37;0.38;78;98;-20.3;-0.5;0.3;-0.1;-0.057;12;4;2;66.7
SCHÖLL Richárd;2023-24;Sopron;19;96;5.1;7;0.4;4.1;10;0.5;5.7;1.5;5.3;8.8;9.4;14;0.40;81;112;-31.6;-0.1;0.1;0.0;-0.006;6;6;13;31.6
GÉRINGER Gergő;2024-25;Atomerőmű SE;20;93;4.7;19;1.0;11.3;26;1.3;15.2;1.8;10.9;15.7;15.8;32;0.54;119;106;12.7;0.2;0.2;0.4;0.152;53;19;1;95.0
LALUSKA Bence;2024-25;Szedeák;14;93;6.6;7;0.5;4.2;10;0.7;5.7;1.8;3.7;13.8;14.0;20;0.34;84;121;-37.1;-0.2;0.0;-0.2;-0.075;-9;1;13;7.1
SZALAY Domonkos;2022-23;ZTE;21;92;4.4;8;0.4;4.8;11;0.5;6.6;0.9;5.3;12.8;12.3;21;0.41;99;115;-15.8;0.0;0.1;0.0;0.016;12;14;7;66.7
LADOVSZKY János;2024-25;Kecskemét;11;92;8.4;-6;-0.5;-3.6;-8;-0.7;-4.8;0.6;-3.7;17.7;18.8;18;0.22;58;121;-63.8;-0.5;0.0;-0.6;-0.241;-54;3;8;27.3
CSÁTALJAY Péter;2024-25;ZTE;20;88;4.4;12;0.6;7.4;16;0.8;10.0;1.0;6.8;14.0;13.4;19;0.40;85;113;-27.3;-0.1;0.1;0.0;-0.020;8;8;12;40.0
MAYER Ákos;2022-23;Szedeák;13;87;6.7;6;0.5;3.8;8;0.6;5.2;1.5;4.9;9.7;9.1;15;0.48;107;115;-8.0;0.0;0.1;0.1;0.040;13;3;10;23.1
